Estación;Provincia;Temperatura máxima (ºC);Temperatura mínima (ºC);Temperatura media (ºC);Racha (km/h);Velocidad máxima (km/h);Precipitación 00-24h (mm);Precipitación 00-06h (mm);Precipitación 06-12h (mm);Precipitación 12-18h (mm);Precipitación 18-24h (mm)
Segorbe;Castelló/Castellón;17.5 (14:10);1.2 (00:30);9,4;17 (15:10);13 (19:50);0;0;0;0;0
Montanejos;Castelló/Castellón;16.2 (15:20);0.2 (07:50);8,2;23 (16:00);9 (15:50);0;0;0;0;0
Villafranca del Cid/Vilafranca;Castelló/Castellón;15.6 (15:00);-2.5 (08:40);6,6;21 (13:20);16 (02:50);0;0;0;0;0
Atzeneta del Maestrat;Castelló/Castellón;19.2 (16:00);-0.5 (08:20);9,4;13 (17:40);10 (17:40);0;0;0;0;0
Castellón - Almassora;Castelló/Castellón;18.6 (13:30);5.9 (04:20);12,3;28 (07:40);18 (07:40);0;0;0;0;0
Torreblanca;Castelló/Castellón;18.2 (12:30);8.0 (01:20);13,1;32 (06:10);23 (06:10);0;0;0;0;0
La Pobla de Benifassà-Fredes;Castelló/Castellón;12.4 (14:00);5.2 (06:50);8,8;38 (02:10);25 (00:30);0;0;0;0;0
Vinaròs;Castelló/Castellón;18.5 (13:20);2.8 (03:40);10,6;24 (10:00);13 (10:00);;;;;
Morella;Castelló/Castellón;13.4 (14:40);4.4 (02:50);8,9;29 (14:10);15 (13:00);0;0;0;0;0
Castellfort;Castelló/Castellón;11.7 (14:20);5.7 (05:30);8,7;;;0;0;0;0;0
Ceuta;Ceuta;16.6 (15:10);14.2 (04:20);15,4;41 (01:00);25 (01:00);0;0;0;0;0
Alcazar de San Juan;Ciudad Real;13.3 (16:10);-1.7 (08:50);5,8;9 (06:50);4 (06:50);0;0;0;0;0
Tomelloso;Ciudad Real;15.1 (15:50);-4.1 (09:00);5,5;18 (11:10);13 (11:50);0;0;0;0;0
Ciudad Real;Ciudad Real;13.4 (15:40);-1.4 (06:40);6;15 (12:40);9 (12:40);0;0;0;0;0
Villanueva de los Infantes;Ciudad Real;16.2 (14:40);3.2 (02:10);9,7;37 (01:00);29 (00:40);0;0;0;0;0
Valdepeñas;Ciudad Real;14.1 (16:20);-2.0 (08:40);6,1;17 (01:10);12 (01:10);0;0;0;0;0
Viso del Marqués;Ciudad Real;15.7 (17:00);-1.8 (09:00);6,9;10 (15:20);7 (15:20);0;0;0;0;0
Abenójar;Ciudad Real;;;;;;;;;;
Puebla de Don Rodrigo;Ciudad Real;17.6 (17:30);-3.6 (08:20);7;;;;;;;
Almadén;Ciudad Real;18.9 (16:50);4.7 (07:30);11,8;17 (03:50);8 (02:30);0;0;0;0;0
Fuencaliente;Ciudad Real;18.8 (16:30);0.2 (06:50);9,5;21 (14:00);13 (14:00);0;0;0;0;0
Valsequillo;Córdoba;15.2 (15:20);-2.6 (09:10);6,3;11 (16:30);6 (15:50);0;0;0;0;0
Hinojosa del Duque;Córdoba;;;;;;;;;0;0
Cardeña;Córdoba;18.5 (15:50);4.4 (06:50);11,5;;;0;0;0;0;0
Montoro;Córdoba;17.9 (16:30);-1.8 (09:00);8;13 (16:40);7 (16:40);0;0;0;0;0
Villanueva de Córdoba;Córdoba;17.9 (15:20);5.2 (03:00);11,5;16 (11:20);9 (23:10);0;0;0;0;0
Córdoba, Embalse de Guadanuño;Córdoba;17.1 (16:10);1.0 (08:30);9,1;13 (13:20);6 (07:00);0;0;0;0;0
Córdoba Aeropuerto;Córdoba;16.9 (15:50);0.0 (08:40);8,4;21 (13:20);14 (13:20);0;0;0;0;0
Priego de Córdoba;Córdoba;16.0 (14:40);-0.1 (08:10);7,9;21 (16:00);15 (16:00);0;0;0;0;0
Doña Mencía;Córdoba;;;;;;;;;;
Córdoba, Prágdena;Córdoba;17.2 (17:30);1.7 (08:50);9,5;17 (21:50);12 (23:50);0;0;0;0;0
Espiel;Córdoba;18.4 (16:50);-1.0 (05:30);8,7;8 (14:20);5 (14:20);0,2;0;0,2;0;0
Fuente Palmera;Córdoba;15.9 (16:00);2.9 (08:40);9,4;24 (12:20);14 (16:10);0;0;0;0;0
Benamejí;Córdoba;17.8 (15:40);4.1 (08:20);10,9;20 (23:50);15 (23:50);0;0;0;0;0
Aguilar de la Frontera;Córdoba;16.0 (15:40);2.4 (08:30);9,2;21 (00:10);15 (00:20);0;0;0;0;0
La Rambla;Córdoba;15.6 (16:40);1.7 (06:50);8,7;24 (09:10);13 (12:10);0;0;0;0;0
Beteta;Cuenca;;;;;;;;;;
Tarancón;Cuenca;16.3 (16:40);2.9 (00:20);9,6;18 (08:40);12 (09:00);0;0;0;0;0
Alcázar del Rey;Cuenca;16.4 (15:40);-1.4 (23:59);7,5;18 (05:40);13 (05:40);0;0;0;0;0
Abia de Obispalia;Cuenca;17.6 (14:00);-1.8 (05:00);7,9;13 (14:40);7 (15:10);0;0;0;0;0
Villares del Saz;Cuenca;13.4 (14:30);-3.0 (08:10);5,2;;;0;0;0;0;0
Alberca de Zancara;Cuenca;17.1 (16:00);-1.1 (23:50);8;9 (10:40);5 (11:00);0;0;0;0;0
San Clemente;Cuenca;14.8 (17:10);-2.1 (08:00);6,4;;;0;0;0;0;0
Osa de la Vega;Cuenca;12.7 (16:00);-1.0 (23:59);5,8;13 (04:00);9 (06:00);0;0;0;0;0
Belmonte;Cuenca;17.0 (13:10);1.1 (05:40);9,1;12 (13:30);9 (19:20);0;0;0;0;0
Cuenca;Cuenca;17.4 (15:20);-3.0 (08:40);7,2;18 (15:20);7 (15:20);0;0;0;0;0
Motilla del Palancar;Cuenca;16.4 (15:10);-1.7 (08:20);7,3;17 (15:20);11 (16:10);0;0;0;0;0
Salvacañete;Cuenca;17.8 (15:40);-6.6 (08:00);5,6;22 (16:50);17 (16:50);0;0;0;0;0
Mira;Cuenca;17.9 (15:20);-7.4 (08:00);5,2;;;0;0;0;0;0
Irún;Gipuzkoa;7.5 (15:10);4.0 (08:10);5,8;15 (06:50);8 (07:30);0;0;0;0;0
San Sebastián Aeropuerto;Gipuzkoa;8.3 (15:00);5.7 (00:50);7;22 (08:50);11 (15:30);0;0;0;0;0
Renteria;Gipuzkoa;10.0 (15:40);1.5 (09:20);5,8;16 (15:00);9 (15:00);0;0;0;0;0
Segura - Lastala;Gipuzkoa;8.2 (15:40);0.8 (22:50);4,5;8 (14:10);4 (08:20);0;0;0;0;0
Beasain;Gipuzkoa;8.5 (16:10);1.4 (10:00);4,9;13 (15:30);8 (15:30);0;0;0;0;0
Ordizia;Gipuzkoa;7.8 (17:00);1.6 (09:20);4,7;14 (13:20);8 (14:50);0;0;0;0;0
Legazpia;Gipuzkoa;8.7 (15:10);-1.7 (08:40);3,5;;;0,2;0,2;0;0;0
Zumarraga;Gipuzkoa;5.5 (15:50);-2.6 (08:50);1,5;10 (14:00);6 (12:40);0,2;0;0,1;0,1;0
Azpeitia;Gipuzkoa;6.2 (16:10);2.4 (09:00);4,3;10 (15:20);5 (17:30);0;0;0;0;0
Zumaia;Gipuzkoa;11.2 (15:30);5.0 (02:30);8,1;17 (09:20);13 (04:40);0;0;0;0;0
Aretxabaleta;Gipuzkoa;7.4 (14:20);0.2 (09:30);3,8;;;0;0;0;0;0
Elgeta;Gipuzkoa;8.2 (14:50);-0.8 (05:50);3,7;15 (05:10);9 (01:10);0,2;0;0,2;0;0
Elgoibar;Gipuzkoa;7.4 (15:30);1.6 (09:30);4,5;15 (23:30);8 (23:30);0;0;0;0;0
Mutriku;Gipuzkoa;9.2 (15:40);4.9 (02:10);7;13 (13:00);9 (03:10);0;0;0;0;0
Blanes;Girona;17.3 (14:40);11.1 (08:50);14,2;36 (00:30);19 (15:00);0;0;0;0;0
Castell, Platja d'Aro;Girona;20.9 (15:40);7.3 (08:20);14,1;28 (15:40);15 (15:40);0;0;0;0;0
Sant Pau de Segúries;Girona;17.4 (13:50);-2.3 (04:00);7,5;33 (13:20);15 (13:20);0;0;0;0;0
Planoles;Girona;15.9 (15:20);4.6 (22:10);10,2;41 (11:20);21 (11:30);0;0;0;0;0
Ripoll;Girona;16.0 (14:30);-1.9 (04:50);7,1;17 (13:30);10 (13:30);0;0;0;0;0
Les Planes d'Hostoles;Girona;18.7 (14:50);-1.4 (04:50);8,7;13 (04:20);5 (15:20);0;0;0;0;0
Sant Hilari;Girona;17.5 (14:40);4.0 (23:50);10,8;36 (02:40);17 (02:30);0;0;0;0;0
Girona Aeropuerto;Girona;20.7 (15:40);3.7 (08:40);12,2;26 (00:10);21 (00:20);0;0;0;0;0
Girona;Girona;20.9 (16:00);3.0 (08:10);11,9;26 (15:50);13 (15:50);0;0;0;0;0
Porqueres;Girona;21.2 (14:20);3.5 (07:40);12,4;36 (19:00);16 (18:30);0;0;0;0;0
L'Estartit;Girona;21.7 (15:10);13.1 (04:00);17,4;28 (15:30);14 (21:40);0;0;0;0;0
La Vall de Bianya;Girona;19.5 (14:10);-1.7 (08:40);8,9;26 (13:20);10 (13:20);0;0;0;0;0
Castelló d'Empúries;Girona;20.8 (13:40);10.2 (09:40);15,5;44 (14:10);22 (13:10);0;0;0;0;0
Maçanet de Cabrenys;Girona;20.3 (14:10);13.7 (06:40);17;68 (19:30);23 (19:30);0;0;0;0;0
Espolla;Girona;20.8 (13:20);14.6 (02:20);17,7;53 (17:00);30 (14:40);0;0;0;0;0
Figueres;Girona;21.8 (15:10);9.0 (09:00);15,4;45 (14:30);21 (16:10);0;0;0;0;0
La Molina;Girona;9.3 (13:10);1.8 (03:50);5,6;44 (15:10);18 (15:10);0;0;0;0;0
Baza;Granada;18.1 (14:50);-3.4 (08:40);7,4;27 (15:20);17 (15:20);0;0;0;0;0
Dólar;Granada;13.8 (15:10);0.7 (00:00);7,3;;;0;0;0;0;0
Víznar;Granada;;;;;;;;;;
Granada-Cartuja;Granada;19.3 (15:50);2.4 (07:50);10,8;10 (19:50);4 (18:30);0;0;0;0;0
Granada Aeropuerto;Granada;17.0 (16:20);-3.3 (08:50);6,9;;;0;0;0;0;0
Loja;Granada;16.2 (13:40);2.7 (07:40);9,5;32 (08:30);17 (09:10);0;0;0;0;0
Lanjarón;Granada;14.9 (15:50);2.1 (06:20);8,5;;;0;0;0;0;0
Salobreña;Granada;17.6 (13:40);6.3 (23:20);12;19 (09:30);10 (03:10);0;0;0;0;0
Motril;Granada;17.7 (11:20);8.9 (04:20);13,3;18 (12:00);15 (12:10);;;;;
Motril, Puerto;Granada;;;;20 (12:10);17 (12:30);0;0;0;0;0
Castell de Ferro;Granada;15.3 (14:30);9.1 (04:50);12,2;16 (11:00);12 (11:20);0;0;0;0;0
Válor;Granada;17.6 (13:30);5.2 (03:10);11,4;;;0;0;0;0;0
Molina de Aragón;Guadalajara;15.6 (15:20);-8.2 (07:30);3,7;19 (15:00);12 (15:00);0;0;0;0;0
Zaorejas;Guadalajara;13.9 (13:00);-2.1 (05:50);5,9;21 (15:00);13 (16:10);0;0;0;0;0
Pastrana;Guadalajara;16.6 (15:00);1.9 (08:40);9,3;;;0;0;0;0;0
Pantano el Vado;Guadalajara;16.4 (15:00);-0.9 (09:10);7,7;19 (16:10);9 (14:30);0;0;0;0;0
Mandayona;Guadalajara;17.2 (15:00);-1.3 (05:00);8;;;0;0;0;0;0
Campisábalos;Guadalajara;;;;;59 (07:30);0;0;0;0;0
Guadalajara;Guadalajara;16.8 (15:40);-1.2 (07:40);7,8;14 (14:40);9 (15:50);0;0;0;0;0
Brihuega;Guadalajara;16.6 (14:40);-2.4 (08:10);7,1;;;0;0;0;0;0
El Pedregal;Guadalajara;15.2 (14:40);-1.5 (04:00);6,8;30 (15:10);19 (13:50);0;0;0;0;0
Aroche;Huelva;18.4 (15:30);-0.8 (09:00);8,8;13 (12:10);8 (16:00);0;0;0;0;0
El Granado;Huelva;16.7 (16:20);2.2 (09:10);9,5;;;0;0;0;0;0
Ayamonte;Huelva;17.9 (16:30);5.6 (08:20);11,7;18 (14:10);9 (14:10);0;0;0;0;0
Cartaya;Huelva;17.7 (15:00);5.3 (23:59);11,5;22 (11:20);12 (11:20);0;0;0;0;0
Alajar;Huelva;16.5 (15:30);7.7 (02:50);12,1;32 (09:00);16 (13:20);0;0;0;0;0
Valverde del Camino;Huelva;17.0 (15:10);4.3 (09:00);10,7;;;0;0;0;0;0
El Cerro de Andévalo;Huelva;18.3 (16:30);6.9 (06:50);12,6;;;0;0;0;0;0
Alosno, Tharsis;Huelva;17.0 (16:10);7.1 (08:40);12;17 (14:50);8 (05:50);0;0;0;0;0
El Campillo;Huelva;15.9 (16:20);6.7 (09:20);11,3;21 (11:00);12 (01:30);0;0;0;0;0
Villarrasa;Huelva;18.2 (15:10);4.3 (06:20);11,3;24 (11:40);12 (11:40);0;0;0;0;0
Huelva, Ronda Este;Huelva;17.6 (16:40);5.5 (08:00);11,6;22 (12:40);12 (11:50);0;0;0;0;0
Cala;Huelva;14.3 (16:00);2.8 (00:50);8,6;17 (15:50);9 (15:50);0;0;0;0;0
Almonte;Huelva;16.8 (17:00);4.8 (08:40);10,8;21 (15:40);14 (11:20);0;0;0;0;0
Moguer, El Arenosillo;Huelva;18.4 (15:40);7.2 (07:40);12,8;22 (10:20);13 (09:50);0;0;0;0;0
Canfranc;Huesca;15.2 (14:30);5.9 (07:30);10,5;30 (13:40);14 (20:50);0;0;0;0;0
Jaca;Huesca;15.6 (15:50);0.4 (07:00);8;22 (00:50);12 (00:50);0;0;0;0;0
Valle de Hecho, Hecho;Huesca;18.0 (15:20);-2.2 (07:30);7,9;43 (19:40);25 (21:00);0;0;0;0;0
Aragüés del Puerto;Huesca;18.1 (15:20);6.0 (06:40);12,1;17 (19:30);8 (05:50);0;0;0;0;0
Bailo;Huesca;14.2 (16:20);-1.3 (05:40);6,4;14 (05:30);9 (05:40);0;0;0;0;0
Biescas;Huesca;17.3 (14:10);1.4 (08:50);9,3;22 (14:50);8 (17:00);0;0;0;0;0
Sabiñánigo;Huesca;15.3 (14:30);-4.4 (08:30);5,5;9 (21:40);4 (16:50);0;0;0;0;0
Almudévar;Huesca;8.6 (16:10);-2.8 (08:40);2,9;18 (18:20);14 (17:20);0;0;0;0;0
Sopeira;Huesca;16.0 (15:10);2.7 (02:00);9,4;41 (08:10);27 (09:00);0;0;0;0;0
Benabarre;Huesca;13.8 (15:20);1.6 (06:20);7,7;18 (23:50);15 (23:50);0;0;0;0;0
Bielsa;Huesca;17.1 (12:50);2.3 (08:40);9,7;49 (23:50);23 (23:50);0;0;0;0;0
Ainsa;Huesca;14.3 (15:50);-1.7 (07:50);6,3;20 (17:00);17 (17:00);0;0;0;0;0
Torla - Depósito;Huesca;18.0 (12:40);4.8 (01:20);11,4;52 (15:50);23 (13:50);0;0;0;0;0
Benasque;Huesca;15.6 (15:00);2.9 (06:20);9,3;57 (15:40);28 (00:30);0;0;0;0;0
Seira;Huesca;14.3 (15:30);-0.9 (08:30);6,7;12 (16:10);5 (17:20);0;0;0;0;0
Capella;Huesca;12.6 (15:40);-3.4 (07:40);4,6;12 (12:40);8 (16:40);0;0;0;0;0
Barbastro;Huesca;3.3 (16:20);0.2 (08:50);1,7;9 (00:40);5 (00:40);0;0;0;0;0
Sariñena, Depósito agua;Huesca;2.4 (16:40);-0.5 (08:10);1;12 (17:40);7 (04:10);0;0;0;0;0
Huesca Aeropuerto;Huesca;5.6 (16:10);-4.1 (07:50);0,8;13 (14:00);8 (19:20);0;0;0;0;0
Huesca;Huesca;6.1 (16:20);-2.9 (09:10);1,6;;;0;0;0;0;0
Lanaja;Huesca;2.0 (14:50);-2.2 (08:30);-0,1;13 (18:20);9 (18:20);0;0;0;0;0
Ballobar;Huesca;;;;;;;;;;
Tamarite de Litera;Huesca;3.9 (15:50);2.0 (06:00);3;11 (03:30);8 (03:30);0;0;0;0;0
Fraga;Huesca;3.5 (15:50);1.7 (00:00);2,6;10 (14:20);6 (11:10);0;0;0;0;0
Escorca, Lluc;Illes Balears;14.7 (14:10);3.3 (21:00);9;33 (09:10);10 (00:30);0;0;0;0;0
Banyalbufar;Illes Balears;15.5 (15:20);9.7 (20:20);12,6;43 (07:50);19 (08:50);0;0;0;0;0
Andratx;Illes Balears;15.9 (14:10);5.5 (20:10);10,7;27 (10:40);6 (01:30);0;0;0;0;0
Calvià, Es Capdellà;Illes Balears;18.1 (16:50);4.2 (23:50);11,2;30 (10:40);15 (10:50);0;0;0;0;0
Palma, Puerto;Illes Balears;20.1 (14:50);8.4 (07:00);14,3;27 (02:00);14 (01:20);0;0;0;0;0
Palma, Universitat;Illes Balears;18.7 (13:50);4.0 (23:20);11,4;39 (09:30);18 (09:30);0;0;0;0;0
Sierra de Alfabia, Bunyola;Illes Balears;9.6 (15:30);3.8 (03:00);6,7;98 (08:40);65 (01:10);0;0;0;0;0
Palma de Mallorca, Aeropuerto;Illes Balears;17.7 (15:40);3.3 (23:59);10,5;45 (13:10);31 (13:10);0;0;0;0;0
Llucmajor, Cap Blanc;Illes Balears;17.8 (12:50);8.9 (06:10);13,3;36 (11:00);20 (00:20);0;0;0;0;0
Llucmajor;Illes Balears;15.9 (14:10);6.5 (02:30);11,2;;;0;0;0;0;0
Porreres;Illes Balears;16.8 (13:40);5.7 (23:59);11,2;30 (12:40);15 (13:00);0;0;0;0;0
Campos, Can Sion;Illes Balears;17.6 (15:30);2.0 (00:50);9,8;25 (13:20);12 (12:00);0,2;0;0,2;0;0
Campos, Salines Llevant;Illes Balears;16.6 (15:00);2.3 (06:00);9,5;26 (13:10);18 (14:00);0;0;0;0;0
Santanyí;Illes Balears;16.5 (14:30);7.1 (23:30);11,8;30 (11:10);18 (11:10);0;0;0;0;0
Portocolom;Illes Balears;16.0 (14:20);9.9 (00:20);12,9;33 (14:40);23 (14:40);0;0;0;0;0
Son Servera;Illes Balears;16.4 (13:50);5.7 (23:10);11;39 (03:30);20 (03:30);0;0;0;0;0
Artà;Illes Balears;16.3 (14:50);5.1 (23:40);10,7;;;0;0;0;0;0
Capdepera;Illes Balears;17.5 (14:00);12.4 (23:00);14,9;62 (00:40);48 (00:50);0;0;0;0;0
Artà-Colònia de Sant Pere;Illes Balears;14.5 (13:10);9.9 (00:00);12,2;;;0;0;0;0;0
Muro, S'Albufera;Illes Balears;16.0 (14:00);4.8 (23:59);10,4;;;0;0;0;0;0
Manacor;Illes Balears;16.6 (13:20);5.7 (00:30);11,2;27 (13:00);15 (22:20);0;0;0;0;0
Sineu;Illes Balears;15.5 (14:50);6.0 (00:10);10,8;32 (12:30);22 (12:30);0;0;0;0;0
Santa María del Camí;Illes Balears;17.7 (14:40);5.3 (02:50);11,5;36 (12:30);22 (12:30);0;0;0;0;0
Binissalem;Illes Balears;16.9 (14:50);5.1 (23:00);11;36 (12:00);22 (10:20);0;0;0;0;0
Escorca, Son Torrella;Illes Balears;11.8 (15:00);5.1 (18:50);8,5;;;0;0;0;0;0
Sa Pobla;Illes Balears;16.7 (14:50);4.4 (23:59);10,6;34 (11:40);23 (11:50);0;0;0;0;0
Pollença;Illes Balears;17.1 (12:50);6.0 (22:50);11,6;37 (00:10);16 (00:10);0;0;0;0;0
Port de Pollença;Illes Balears;17.8 (15:00);7.8 (20:50);12,8;41 (00:20);19 (01:10);0;0;0;0;0
La Mola, Maó/Mahón;Illes Balears;15.8 (13:20);9.8 (20:20);12,8;;;0;0;0;0;0
Es Mercadal;Illes Balears;14.4 (12:10);9.2 (18:50);11,8;49 (03:00);31 (03:00);0;0;0;0;0
Ciutadella;Illes Balears;15.8 (13:30);7.4 (21:30);11,6;;;0;0;0;0;0
Ciutadella, Cala Galdana;Illes Balears;15.6 (13:00);4.8 (22:30);10,2;37 (03:10);15 (12:40);0;0;0;0;0
Menorca, Aeropuerto;Illes Balears;;;;;;;;;0;0
Sant Joan de Labritja;Illes Balears;16.4 (13:00);2.5 (23:59);9,4;;;0;0;0;0;0
Sant Antoni de Portmany;Illes Balears;17.5 (14:50);4.3 (00:30);10,9;24 (14:00);10 (13:20);0,2;0,2;0;0;0
Ibiza, Aeropuerto;Illes Balears;17.7 (13:30);5.8 (00:50);11,8;33 (14:40);20 (14:40);0;0;0;0;0
Eivissa;Illes Balears;18.2 (15:00);5.5 (23:50);11,9;28 (14:10);13 (13:20);0;0;0;0;0
Formentera;Illes Balears;18.0 (13:50);6.9 (00:00);12,5;27 (13:30);14 (14:40);0;0;0;0;0
Cazorla;Jaén;;;;;;;;;;
Baeza;Jaén;18.9 (14:40);4.8 (23:10);11,8;21 (12:30);11 (09:30);0;0;0;0;0
Torres;Jaén;15.4 (16:20);4.3 (05:10);9,8;;;0;0;0;0;0
Arroyo del Ojanco;Jaén;19.5 (15:00);0.6 (07:20);10,1;;;0;0;0;0;0
Villarrodrigo;Jaén;19.8 (15:10);4.2 (00:10);12;47 (09:50);26 (09:50);;;;;
Villanueva del Arzobispo;Jaén;17.3 (14:50);0.9 (08:20);9,1;14 (05:00);6 (02:40);0;0;0;0;0
Santa Elena;Jaén;15.0 (15:50);3.1 (08:00);9;25 (00:40);12 (00:40);0;0;0;0;0
Jaén;Jaén;15.1 (15:20);3.7 (08:40);9,4;21 (23:20);16 (23:20);0;0;0;0;0
Linares;Jaén;17.5 (16:10);6.6 (07:00);12;13 (22:30);8 (22:30);0;0;0;0;0
Bailén;Jaén;17.6 (15:50);1.8 (08:00);9,7;13 (02:00);7 (02:00);0;0;0;0;0
Andújar;Jaén;18.7 (16:50);-1.8 (07:50);8,5;11 (15:40);5 (19:10);0;0;0;0;0
Alcalá La Real;Jaén;17.8 (15:30);1.8 (07:30);9,8;17 (12:40);11 (23:30);0;0;0;0;0
Valdezcaray, estación de esquí;La Rioja;10.4 (13:10);4.9 (01:20);7,6;37 (22:20);25 (22:40);0;0;0;0;0
Haro;La Rioja;13.6 (15:30);0.0 (08:00);6,8;;;0;0;0;0;0
Anguiano;La Rioja;11.3 (14:00);-1.0 (07:00);5,2;;;0;0;0;0;0
Nájera;La Rioja;16.6 (15:10);2.1 (00:00);9,4;20 (17:40);10 (07:50);0;0;0;0;0
Cenicero;La Rioja;14.4 (15:40);0.8 (08:30);7,6;25 (13:50);14 (19:00);0;0;0;0;0
Logroño Aeropuerto;La Rioja;17.1 (15:50);3.7 (08:20);10,4;26 (06:30);18 (13:20);0;0;0;0;0
Enciso;La Rioja;16.2 (13:40);0.9 (08:40);8,6;28 (03:50);20 (14:30);0;0;0;0;0
Alfaro;La Rioja;14.0 (15:30);-4.1 (08:20);5;16 (23:40);9 (21:30);0;0;0;0;0
Tías;Las Palmas;17.8 (14:30);12.3 (06:20);15;58 (23:40);39 (12:10);0;0;0;0;0
Yaiza Playa Blanca;Las Palmas;20.3 (15:40);14.5 (00:10);17,4;56 (10:40);40 (08:50);0;0;0;0;0
Lanzarote Aeropuerto;Las Palmas;20.7 (15:40);12.6 (04:00);16,7;50 (23:20);36 (13:40);0;0;0;0;0
Haría;Las Palmas;18.6 (15:30);11.1 (00:10);14,9;66 (11:10);44 (12:20);0;0;0;0;0
Tinajo;Las Palmas;18.8 (15:40);11.6 (00:10);15,2;56 (13:00);41 (12:50);0;0;0;0;0
Pájara;Las Palmas;22.2 (21:20);16.4 (03:00);19,3;46 (09:50);25 (05:40);0;0;0;0;0
Tuineje,Puerto Gran Tarajal;Las Palmas;21.2 (21:40);12.8 (01:00);17;40 (03:30);24 (08:10);0;0;0;0;0
Antigua;Las Palmas;20.3 (15:50);10.9 (07:50);15,6;44 (15:20);29 (14:00);0;0;0;0;0
Fuerteventura Aeropuerto;Las Palmas;21.6 (15:20);14.2 (00:10);17,9;45 (13:40);32 (13:40);0;0;0;0;0
La Oliva;Las Palmas;19.9 (15:10);12.2 (00:20);16;53 (12:00);36 (12:00);0;0;0;0;0
La Oliva, Puerto de Corralejo;Las Palmas;20.4 (15:10);15.7 (00:00);18;59 (07:00);40 (12:40);0;0;0;0;0
Vega de San Mateo;Las Palmas;11.0 (13:30);1.5 (01:10);6,3;38 (11:10);17 (23:59);0;0;0;0;0
Tejeda, Cruz de Tejeda;Las Palmas;15.3 (15:40);4.3 (03:30);9,8;30 (08:10);13 (07:50);0;0;0;0;0
Tejeda;Las Palmas;18.0 (13:40);8.9 (02:20);13,4;32 (13:10);19 (18:30);0;0;0;0;0
Agaete;Las Palmas;22.6 (17:10);16.1 (06:20);19,4;24 (03:10);17 (03:30);0;0;0;0;0
La Aldea de San Nicolás;Las Palmas;22.7 (16:00);10.0 (23:59);16,4;26 (14:00);18 (13:40);0;0;0;0;0
San Bartolome Tirajana, Cuevas del Pinar;Las Palmas;13.6 (13:20);6.8 (00:20);10,2;27 (02:10);12 (12:50);0;0;0;0;0
San Bartolome Tirajana, Lomo Pedro Alfonso;Las Palmas;18.0 (14:40);9.4 (00:00);13,7;27 (15:40);18 (06:40);0;0;0;0;0
La Aldea de San Nicolás, Tasarte;Las Palmas;22.8 (13:50);11.8 (07:20);17,3;52 (14:00);25 (15:20);0;0;0;0;0
Mogán, Puerto Rico;Las Palmas;22.5 (12:00);16.2 (07:50);19,4;38 (13:10);28 (13:20);0;0;0;0;0
San Bartolome Tirajana, Las Tirajanas;Las Palmas;17.9 (12:40);6.7 (06:50);12,3;18 (13:30);9 (23:50);0;0;0;0;0
Maspalomas, C. Insular Turismo;Las Palmas;21.4 (11:00);14.9 (03:50);18,1;26 (13:30);16 (14:30);0;0;0;0;0
San Bartolome Tirajana, El Matorral;Las Palmas;22.5 (14:00);13.1 (04:10);17,8;22 (14:00);14 (14:00);0;0;0;0;0
Agüimes;Las Palmas;21.2 (12:00);11.8 (03:10);16,5;30 (15:00);20 (13:50);0;0;0;0;0
Telde, Centro Forestal Doramas;Las Palmas;19.4 (12:00);10.5 (03:20);14,9;37 (13:00);20 (12:50);0;0;0;0;0
Gran Canaria Aeropuerto;Las Palmas;21.4 (13:40);13.7 (03:50);17,5;37 (14:20);23 (14:00);0;0;0;0;0
Telde, Melenara;Las Palmas;21.4 (12:10);11.1 (22:50);16,3;28 (13:30);12 (14:50);0;0;0;0;0
Teror;Las Palmas;19.9 (16:30);8.2 (00:10);14;26 (14:10);14 (13:30);0;0;0;0;0
Las Palmas de Gran Canaria, Tafira;Las Palmas;19.4 (13:10);13.6 (00:40);16,5;38 (14:10);20 (14:10);0;0;0;0;0
Las Palmas de Gran Canaria, San Cristobal;Las Palmas;23.5 (11:30);16.7 (07:50);20,1;51 (15:20);42 (15:40);0;0;0;0;0
Las Palmas de Gran Canaria, Pl. de la Feria;Las Palmas;21.5 (13:20);16.4 (04:20);18,9;36 (14:40);13 (15:40);0;0;0;0;0
Valleseco;Las Palmas;18.4 (16:00);8.0 (08:00);13,2;30 (04:00);21 (19:50);0;0;0;0;0
Agaete - Suerte Alta;Las Palmas;19.4 (16:30);13.1 (01:10);16,3;19 (14:50);14 (14:50);0;0;0;0;0
Arucas;Las Palmas;22.4 (15:20);14.3 (22:30);18,3;43 (14:00);24 (14:00);0;0;0;0;0
Maspalomas;Las Palmas;22.0 (11:10);14.8 (01:20);18,4;30 (11:10);22 (12:50);0;0;0;0;0
Teguise;Las Palmas;20.7 (14:30);14.6 (00:00);17,7;72 (13:00);44 (13:50);0;0;0;0;0
Posada de Valdeón, Soto;León;12.3 (15:10);-0.1 (01:50);6,1;;;0;0;0;0;0
Villablino;León;15.1 (15:10);-5.2 (08:50);5;8 (07:00);5 (07:00);0;0;0;0;0
Ponferrada;León;10.1 (17:00);-4.7 (09:10);2,7;9 (14:20);5 (12:40);0;0;0;0;0
Vega de Espinareda;León;17.6 (16:00);-0.3 (07:30);8,7;;;0;0;0;0;0
Riaño;León;;;;;;;;;;
Cubillas de Rueda;León;17.9 (15:00);-2.2 (08:50);7,8;24 (14:00);15 (15:00);0;0;0;0;0
